A1A6H3	6ILR;6ILS;6ILT;	RBSK At1g17160 F20D23.14 Ribokinase, AtRBSK, RK, EC 2.7.1.15
A8MQA5	2RU1;	ESF1.3 MEG1.3 At1g10717 F20B24 T16B5 EMBRYO SURROUNDING FACTOR 1.3 (Maternally expressed family protein 1.3) (Maternally expressed gene 1.3)
A8R7E6	4EBY;4EBZ;	CERK1 LYK1 RLK1 At3g21630 MIL23.20 Chitin elicitor receptor kinase 1, AtCERK1, EC 2.7.11.1 (LysM domain receptor-like kinase 1, LysM RLK1, LysM-containing receptor-like kinase 1)
A9LNK9	5ZUU;	CPSF30 OXT6 At1g30460 F26G16.5 F26G16.6 30-kDa cleavage and polyadenylation specificity factor 30, EC 3.1.21.- (Protein OXIDATIVE STRESS TOLERANT 6) (Zinc finger CCCH domain-containing protein 11, AtC3H11)
B0F481	4A0F;4A0G;4A0H;4A0R;	BIO3-BIO1 BIO1 BIO3 At5g57590 MUA2.17/MUA2.18 Bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase, mitochondrial (Bifunctional BIO3-BIO1 protein) [Includes: Dethiobiotin synthetase, EC 6.3.3.3 (DTB synthetase, DTBS) (Protein BIOTIN AUXOTROPH 3); 7,8-diamino-pelargonic acid aminotransferase, DAPA AT, DAPA aminotransferase (7,8-diaminononanoate synthase, DANS) (Adenosylmethionine-8-amino-7-oxononanoate aminotransferase, EC 2.6.1.62) (Diaminopelargonic acid synthase) (Protein BIOTIN AUXOTROPH 1) ]
B3H5J1	5HZ3;	GLV10 CLEL7 RGF5 At5g51451 MFG13 Protein GOLVEN 10 (CLAVATA3/ESR (CLE)-related protein CLEL7, CLE-Like protein 7) (Root meristem growth factor 5, AtRGF5) [Cleaved into: GLV10p ]
B9DFX7	5LBK;	PAA2 HMA8 At5g21930 F13M11 T6G21 Copper-transporting ATPase PAA2, chloroplastic, EC 7.2.2.9 (Protein HEAVY METAL ATPASE 8)
C0LGQ5	6S6Q;	GSO1 SGN3 At4g20140 F1C12.60 LRR receptor-like serine/threonine-protein kinase GSO1, EC 2.7.11.1 (Protein GASSHO 1) (Protein SCHENGEN 3)
C0LGR3	5HYX;5HZ0;5HZ1;5HZ3;	RGI3 RGFR1 RGFR3 At4g26540 M3E9.30 LRR receptor-like serine/threonine-protein kinase RGI3, EC 2.7.11.1 (Protein RECEPTOR OF RGF1 1) (Protein RGF1 INSENSITIVE 3)
C0LGW6	5XJO;5XJX;5XKJ;	ERL1 At5g62230 MMI9.14 LRR receptor-like serine/threonine-protein kinase ERL1, EC 2.7.11.1 (Protein ERECTA-like kinase 1)
C4B7M5	5W3X;7P8K;	RRS1 RCH2 RRS1-R WRKY52 Disease resistance protein RRS1 (Disease resistance protein RCH2) (Probable WRKY transcription factor 52) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein)
F4IEM5	3T33;	GCR2 GPCR At1g52920 F14G24.19 LanC-like protein GCR2 (G-protein coupled receptor 2)
F4JL28	5Z8L;5Z8N;	EBS At4g22140 F1N20.240 Chromatin remodeling protein EBS (Protein EARLY BOLTING IN SHORT DAYS)
F4JP36	5OW3;	HAP2 GCS1 At4g11720 T5C23 Protein HAPLESS 2 (GENERATIVE CELL SPECIFIC 1)
F4K5J1	7KFL;	XI-K XIK At5g20490 F7C8.80 Myosin-17 (Myosin XI K, AtXIK)
F4KCC2	6LHN;	PRT6 CER3 GED1 At5g02310/At5g02300 T1E22.70/T1E22.60 E3 ubiquitin-protein ligase PRT6, EC 2.3.2.27 (Protein GREENING AFTER EXTENDED DARKNESS 1) (Protein PROTEOLYSIS 6) (RING-type E3 ubiquitin transferase PRT6)
O03042	5IU0;	rbcL AtCg00490 Ribulose bisphosphate carboxylase large chain, RuBisCO large subunit, EC 4.1.1.39
O03986	6HPG;6Q3Q;	HSP90-4 HSP81-4 At5g56000 MDA7.4 Heat shock protein 90-4, AtHSP90.4, AtHsp90-4 (Heat shock protein 81-4, Hsp81-4)
O04147	1FSI;1JH6;1JH7;	At4g18930 F13C5.100 F13C5_100 Cyclic phosphodiesterase, CPDase, EC 3.1.4.-
O04197	3OGK;3OGL;3OGM;	COI1 FBL2 At2g39940 T28M21.10 Coronatine-insensitive protein 1 (COI-1) (F-box/LRR-repeat protein 2, AtCOI1, AtFBL2)
O04294	4TNM;	IMPA3 KAP2 MOS6 At4g02150 T10M13.16 Importin subunit alpha-3, IMPa-3 (Karyopherin subunit alpha-2, KAP-alpha-2) (Protein MODIFIER OF SNC1 6)
